Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,Daily_Change,Daily_Return,Day_Range,Day_of_Week,Target_Price,Target_Direction
2023-07-17,1253.9963391795925,1285.060901535764,1245.3228457945552,1276.6842041015625,22220040.0,1261.103857421875,1232.2441528320312,1196.1215881347657,22.687864921970004,2.0432860121354146,39.73805574120888,0,1287.5257568359375,1
2023-07-18,1285.9508548808042,1295.2861607810748,1274.9948839462777,1287.5257568359375,25867313.0,1266.1937744140625,1242.8211547851563,1202.2534729003905,1.5749019551333276,0.849196120665141,20.291276834797145,1,1297.2950439453125,1
2023-07-19,1291.885581272737,1303.754521961654,1276.8211937050912,1297.2950439453125,39122156.0,1272.95908203125,1254.5691040039062,1208.7528503417968,5.409462672575501,0.7587644019940054,26.933328256562845,2,1295.7237548828125,0
2023-07-20,1276.0147195399904,1301.2135132047797,1276.0147195399904,1295.7237548828125,38717624.0,1281.6697998046875,1263.6834350585937,1215.0093200683593,19.709035342822062,-0.12112040894887155,25.198793664789264,3,1255.613525390625,0
2023-07-21,1290.357730278342,1293.2757006107088,1248.120695339947,1255.613525390625,30249238.0,1282.56845703125,1269.0218383789063,1219.9176391601563,-34.74420488771693,-3.09558494555926,45.155005270761876,4,1230.2166748046875,0
2023-07-24,1227.0514151401742,1243.8423605772516,1221.2648606691866,1230.2166748046875,23727866.0,1273.274951171875,1267.189404296875,1224.0297302246095,3.1652596645133144,-2.022664623498416,22.577499908064965,0,1229.425537109375,0
2023-07-25,1233.4810641733905,1239.0203294862108,1226.556952345633,1229.425537109375,12026020.0,1261.6549072265625,1263.9243408203124,1228.5404968261719,-4.05552706401545,-0.06430880929476634,12.463377140577904,1,1249.4063720703125,1
2023-07-26,1229.029726310642,1259.6936470475673,1229.029726310642,1249.4063720703125,12911012.0,1252.0771728515624,1262.5181274414062,1234.0297607421876,20.37664575967051,1.6252171732105358,30.66392073692532,2,1237.7838134765625,0
2023-07-27,1253.2889256301971,1255.06933898356,1231.6758304667376,1237.7838134765625,17226898.0,1240.4891845703125,1261.0794921875,1238.1835388183595,-15.505112153634627,-0.9302464637258923,23.39350851682252,3,1250.2225341796875,1
2023-07-28,1242.4081558253793,1257.6412248805652,1236.7204929547063,1250.2225341796875,20827852.0,1239.410986328125,1260.9897216796876,1242.4856384277343,7.814378354308246,1.0049186754339967,20.920731925858945,4,1260.8065185546875,1
2023-07-31,1250.222567835286,1263.1062644351005,1245.3261593927457,1260.8065185546875,8551174.0,1245.528955078125,1259.401953125,1245.8230529785155,10.5839507194014,0.8465680377409468,17.780105042354762,0,1242.9769287109375,0
2023-08-01,1263.6503718598296,1265.628689467438,1239.0697997346808,1242.9769287109375,9536632.0,1248.2392333984376,1254.9470703125,1248.8841125488282,-20.673443148892147,-1.4141416292952513,26.55888973275728,1,1229.697509765625,0
2023-08-02,1240.998576334311,1242.383422770223,1218.4458286875906,1229.697509765625,12748214.0,1244.2974609375,1248.1873168945312,1251.3782104492188,-11.30106656868611,-1.0683560280627447,23.93759408263236,2,1224.5291748046875,0
2023-08-03,1224.23249959185,1236.8936606795558,1215.7010043381908,1224.5291748046875,10168350.0,1241.646533203125,1241.0678588867188,1252.3756469726563,0.2966752128374992,-0.42029319567562506,21.19265634136491,3,1241.1717529296875,1
2023-08-04,1235.8550243989196,1244.3617658987637,1222.4024889169664,1241.1717529296875,22885610.0,1239.836376953125,1239.623681640625,1254.3227600097657,5.316728530767932,1.3591001723298746,21.959276981797302,4,1248.2442626953125,1
2023-08-07,1246.8346631113916,1250.4945023600335,1238.92139273861,1248.2442626953125,5982870.0,1237.32392578125,1241.4264404296875,1254.3079223632812,1.4095995839209081,0.5698252275666782,11.573109621423555,0,1240.7264404296875,0
2023-08-08,1250.2965991690858,1253.486611833248,1236.225840784307,1240.7264404296875,9844072.0,1236.873828125,1242.5565307617187,1253.2404357910157,-9.570158739398266,-0.6022717259995147,17.260771048941024,1,1248.9119873046875,1
